id,scrape_id,last_scraped,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
421290,2.02503E+13,3/15/25,1684051,Rick,2/1/12,within an hour,100%,100%,t,,7,7,t,t,District 19,36.1723,-86.7925,Entire guest suite,2,1,1,1,$87.00 ,6/8/12,2/20/25,4.95,4.97,4.98,4.97,4.96,4.82,4.94,f,7,7,0,0,7.09
430052,2.02503E+13,3/15/25,1684051,Rick,2/1/12,within an hour,100%,100%,t,,7,7,t,t,District 19,36.1723,-86.7925,Entire guest suite,2,1,1,1,$87.00 ,6/13/12,2/28/25,4.96,4.94,4.98,4.97,4.96,4.79,4.92,f,7,7,0,0,7.1
431258,2.02503E+13,3/15/25,1684051,Rick,2/1/12,within an hour,100%,100%,t,,7,7,t,t,District 19,36.1758,-86.7995,Entire home,4,2.5,2,2,$241.00 ,5/28/12,3/3/25,4.88,4.93,4.93,4.96,4.96,4.47,4.87,f,7,7,0,0,3.48
501570,2.02503E+13,3/15/25,2427763,Dody &Rodney,5/21/12,within an hour,100%,100%,t,,2,4,t,t,District 6,36.18982,-86.74399,Private room in home,2,1,1,2,$115.00 ,6/13/12,1/26/25,4.85,4.95,4.98,4.85,4.88,4.74,4.8,f,2,1,1,0,1.71
513664,2.02503E+13,3/15/25,2530554,Lori,6/3/12,N/A,N/A,N/A,f,,1,1,t,t,District 14,36.15606,-86.64991,Private room in home,4,,,,,3/19/13,6/29/15,4.7,4.62,4.58,4.88,4.85,4.52,4.65,f,1,0,1,0,0.18
632636,2.02503E+13,3/15/25,1684051,Rick,2/1/12,within an hour,100%,100%,t,,7,7,t,t,District 19,36.1723,-86.7925,Entire rental unit,2,1.5,1,1,$163.00 ,8/9/12,2/9/25,4.97,4.97,4.96,4.99,4.98,4.78,4.93,f,7,7,0,0,2.96
645985,2.02503E+13,3/15/25,1515903,Karen,12/18/11,within a few hours,100%,33%,t,Rosebank,3,4,t,t,District 6,36.18523,-86.71385,Private room in home,1,1,1,2,$32.00 ,9/25/12,1/21/25,4.88,4.86,4.86,4.81,4.88,4.74,4.81,f,3,0,3,0,0.39
648088,2.02503E+13,3/15/25,3250769,Robyn,8/13/12,N/A,N/A,N/A,f,,1,1,t,t,District 19,36.1447,-86.79014,Private room in cottage,2,1,1,2,$113.00 ,9/14/12,10/30/23,4.87,4.89,4.88,4.96,4.92,4.88,4.87,f,1,0,1,0,2.92
674159,2.02503E+13,3/15/25,3422455,John,8/30/12,within an hour,100%,83%,t,Lockeland Springs,2,2,t,t,District 6,36.17393,-86.73894,Entire guest suite,2,1,1,1,$118.00 ,1/2/13,11/11/24,4.93,4.93,4.96,4.94,4.95,4.89,4.91,f,2,2,0,0,2.3
681880,2.02503E+13,3/15/25,3471162,Tiffany,9/4/12,within an hour,100%,97%,t,,1,1,t,t,District 7,36.21536,-86.71024,Entire guesthouse,2,1,1,1,$92.00 ,10/6/12,3/10/25,4.96,4.98,4.98,4.97,4.98,4.87,4.93,f,1,1,0,0,5.37
859206,2.02503E+13,3/15/25,1924504,Anne,3/14/12,N/A,N/A,80%,f,,1,1,t,t,District 18,36.12999,-86.79959,Private room in home,2,,1,,,2/4/13,10/22/24,4.82,4.87,4.89,4.98,4.97,4.92,4.87,f,1,0,1,0,0.89
914787,2.02503E+13,3/15/25,4910520,Amy,1/30/13,within an hour,100%,100%,t,Midtown,19,19,t,t,District 19,36.17539978,-86.7818985,Entire rental unit,6,1,1,4,$156.00 ,3/12/13,3/9/25,4.75,4.79,4.8,4.9,4.94,4.68,4.68,t,16,16,0,0,3.04
1006989,2.02503E+13,3/16/25,1896384,John,3/10/12,within an hour,100%,100%,t,,1,1,t,f,District 6,36.17502,-86.73475,Entire guest suite,3,1,1,1,$88.00 ,4/1/13,3/11/25,4.98,4.98,5,5,4.99,4.94,4.96,f,1,1,0,0,4.38
1009550,2.02503E+13,3/15/25,5554006,Jacque,3/20/13,within an hour,100%,100%,t,,1,1,t,t,District 7,36.21239,-86.70439,Entire home,4,1,2,3,$102.00 ,4/8/13,12/30/24,4.95,4.95,4.93,4.98,5,4.93,4.94,f,1,1,0,0,1.95
1300670,2.02503E+13,3/15/25,119023,Dana,5/5/10,within an hour,100%,100%,t,,1,1,t,t,District 10,36.32249,-86.72652,Entire chalet,4,1,1,6,$126.00 ,7/9/13,1/2/25,4.99,4.98,4.97,5,4.97,4.99,4.96,f,1,1,0,0,1.13
1537921,2.02503E+13,3/15/25,113637,Cynthia,4/25/10,within an hour,100%,100%,t,,1,1,t,f,District 6,36.1676178,-86.73709869,Entire guesthouse,2,1,1,1,$93.00 ,9/2/13,3/9/25,4.92,4.98,4.97,4.96,4.96,4.84,4.88,f,1,1,0,0,2.33
1546787,2.02503E+13,3/15/25,6855810,UrbanNashville,6/11/13,within an hour,100%,98%,,Downtown,196,218,t,t,District 18,36.12991714,-86.79246521,Entire guesthouse,4,1,0,3,$94.00 ,2/17/14,3/12/25,4.88,4.92,4.87,4.94,4.92,4.94,4.84,f,115,70,45,0,4.06
1550764,2.02503E+13,3/15/25,1684051,Rick,2/1/12,within an hour,100%,100%,t,,7,7,t,t,District 19,36.17231,-86.79252,Entire guest suite,2,1,1,1,$86.00 ,8/26/13,2/27/25,4.91,4.96,4.97,4.96,4.95,4.81,4.9,f,7,7,0,0,6.35
1557535,2.02503E+13,3/15/25,8291189,John,8/20/13,within an hour,100%,100%,t,,1,1,t,t,District 7,36.22621,-86.7103,Entire home,12,2.5,4,8,$471.00 ,11/25/13,11/18/24,4.98,4.97,4.97,5,4.98,5,4.94,t,1,1,0,0,0.71
1583339,2.02503E+13,3/15/25,1567001,Amy,1/4/12,within an hour,100%,95%,t,,11,22,t,t,District 6,36.17833,-86.74426,Entire home,6,,3,,,9/17/13,10/20/24,4.9,4.78,4.62,4.99,4.96,4.91,4.73,f,4,2,2,0,0.57
1583557,2.02503E+13,3/15/25,1567001,Amy,1/4/12,within an hour,100%,95%,t,,11,22,t,t,District 6,36.17833,-86.74426,Entire home,4,1.5,2,2,$118.00 ,9/24/13,7/21/24,4.84,4.83,4.82,4.93,4.98,4.93,4.76,f,4,2,2,0,0.87
1587240,2.02503E+13,3/15/25,1567001,Amy,1/4/12,within an hour,100%,95%,t,,11,22,t,t,District 6,36.17868,-86.74394,Private room in home,2,,,,,9/21/13,7/22/21,4.93,4.95,4.92,4.98,4.98,4.96,4.94,f,4,2,2,0,0.95
1640655,2.02503E+13,3/15/25,6154341,Ann,4/29/13,N/A,N/A,0%,f,,1,1,t,t,District 17,36.12397,-86.78047,Private room in home,2,1,2,1,$77.00 ,10/3/13,5/1/19,4.9,4.95,4.9,5,4.99,4.84,4.92,f,1,0,1,0,1.07
1661560,2.02503E+13,3/15/25,8804227,Kelli Katrice,9/12/13,within a few hours,100%,100%,f,,1,1,t,t,District 6,36.17622,-86.73512,Entire rental unit,6,1,2,2,$210.00 ,11/12/13,11/25/24,4.91,4.92,4.95,4.95,4.96,4.9,4.88,f,1,1,0,0,0.96
1840652,2.02503E+13,3/15/25,2066370,Lisa,4/3/12,within an hour,100%,100%,t,,11,18,t,t,District 21,36.17663193,-86.80799103,Entire home,10,2,3,6,$341.00 ,11/19/13,11/9/24,4.78,4.82,4.88,4.94,4.93,4.39,4.74,f,1,1,0,0,1.41
1951714,2.02503E+13,3/15/25,7720839,Michelle,7/25/13,N/A,N/A,N/A,f,,3,6,t,t,District 17,36.14549,-86.78686,Shared room in home,3,1,2,1,$500.00 ,12/10/13,6/18/17,4.83,4.83,4.83,5,5,4.83,5,f,1,0,0,1,0.04
1954040,2.02503E+13,3/15/25,8196681,Anita,8/16/13,within an hour,100%,100%,t,,1,5,t,t,District 7,36.20338,-86.7296,Private room in bungalow,2,1,1,1,$59.00 ,1/2/14,3/3/25,4.91,4.92,4.81,4.97,4.98,4.87,4.9,f,1,0,1,0,3.64
2083878,2.02503E+13,3/15/25,10643952,Khira,12/15/13,within an hour,100%,94%,t,,2,5,t,t,District 19,36.17069,-86.79121,Entire guest suite,5,1.5,2,2,$141.00 ,12/31/13,2/23/25,4.84,4.92,4.93,4.92,4.85,4.74,4.85,f,2,2,0,0,5.17
2138177,2.02503E+13,3/15/25,6521193,William Terry,5/22/13,within an hour,100%,100%,t,,1,1,t,t,District 6,36.16107,-86.75256,Entire guest suite,4,1,1,2,$126.00 ,2/10/14,2/16/25,4.98,4.97,4.98,4.98,4.96,4.69,4.9,f,1,1,0,0,3.63
2181743,2.02503E+13,3/15/25,7073590,Brigitte,6/23/13,within an hour,100%,99%,t,Midtown,21,25,t,t,District 6,36.17035,-86.74017,Entire home,10,2,3,4,$230.00 ,5/27/14,3/8/25,4.93,4.95,4.96,4.95,4.96,4.95,4.86,f,20,20,0,0,5.26
2261942,2.02503E+13,3/15/25,11550460,James,1/22/14,within an hour,100%,100%,t,,1,1,t,t,District 5,36.18269,-86.75301,Private room in bungalow,2,1,1,1,$83.00 ,4/21/14,3/13/25,4.93,4.95,4.8,4.98,4.97,4.91,4.91,f,1,0,1,0,5.96
2316288,2.02503E+13,3/15/25,7428690,Matt & Steph,7/11/13,within an hour,100%,97%,t,,3,3,t,t,District 6,36.185993,-86.741821,Entire home,10,3,3,5,$144.00 ,7/13/15,10/1/24,4.93,4.94,4.95,4.98,4.96,4.91,4.84,f,3,3,0,0,2.95
2372334,2.02503E+13,3/15/25,1567001,Amy,1/4/12,within an hour,100%,95%,t,,11,22,t,t,District 6,36.17833,-86.74426,Private room in home,2,,,,,3/21/14,1/2/21,4.96,4.94,4.92,5,4.98,4.94,4.88,f,4,2,2,0,0.37
2396505,2.02503E+13,3/15/25,12098481,Bryan,2/9/14,within an hour,100%,86%,f,,1,1,t,t,District 18,36.13541,-86.812656,Entire home,8,,4,,,4/22/14,9/29/24,4.98,5,5,4.95,5,4.95,4.79,f,1,1,0,0,0.68
2473234,2.02503E+13,3/15/25,12649085,Val,2/27/14,within an hour,100%,100%,t,,1,1,t,t,District 6,36.18034,-86.72588,Entire place,2,1,1,1,$60.00 ,3/25/14,2/17/25,4.98,4.98,4.99,4.99,5,4.9,4.95,f,1,1,0,0,1.38
2479230,2.02503E+13,3/15/25,2800334,Kristin,7/1/12,within a day,100%,89%,t,,2,3,t,t,District 19,36.14377,-86.79486,Entire rental unit,4,1,2,2,$105.00 ,6/10/14,6/1/24,4.96,4.98,4.89,4.98,4.96,4.89,4.88,f,2,2,0,0,0.77
2521338,2.02503E+13,3/16/25,812128,Patricia And John,7/12/11,within an hour,90%,92%,t,South Miami Heights,12,32,t,t,District 12,36.18934,-86.59118,Private room in home,1,1,1,1,$45.00 ,6/9/15,8/10/16,4.67,4.33,3.67,5,5,5,4,t,6,1,5,0,0.03
2581896,2.02503E+13,3/15/25,13221453,Christy,3/17/14,within an hour,100%,98%,t,,3,5,t,f,District 6,36.16922,-86.74108,Entire rental unit,4,,1,,,4/7/14,12/27/24,4.94,4.97,4.96,4.97,4.98,4.92,4.92,f,3,3,0,0,2.13
2590492,2.02503E+13,3/15/25,13262394,Dee,3/18/14,within a few hours,100%,100%,f,,2,2,t,t,District 15,36.24254,-86.70525,Entire home,6,2,3,0,$300.00 ,4/15/14,7/30/18,4.71,4.76,4.71,5,4.86,4.9,4.71,f,1,1,0,0,0.16
2666769,2.02503E+13,3/15/25,9551442,Debra,10/21/13,within an hour,100%,100%,t,Belmont–Hillsboro,11,11,t,f,District 21,36.14705,-86.81845,Entire bungalow,4,1,1,3,$114.00 ,9/2/14,3/10/25,4.96,4.96,4.98,4.97,4.98,4.95,4.91,t,6,6,0,0,6.28
2694882,2.02503E+13,3/15/25,13221453,Christy,3/17/14,within an hour,100%,98%,t,,3,5,t,f,District 6,36.17032,-86.7408,Entire rental unit,4,1,1,1,$97.00 ,4/7/14,3/2/25,4.95,4.94,4.94,4.98,5,4.9,4.89,f,3,3,0,0,2.23
2699594,2.02503E+13,3/15/25,1099118,Calvin J,9/1/11,within an hour,100%,100%,t,,1,3,t,t,District 19,36.16127,-86.77698,Entire condo,4,1.5,1,2,$198.00 ,8/25/14,3/2/25,4.94,4.93,4.86,4.94,4.97,4.99,4.84,f,1,1,0,0,2.02
2710049,2.02503E+13,3/15/25,22296,Diana,6/19/09,within an hour,100%,75%,f,,18,25,t,t,District 12,36.1631,-86.59044,Private room in home,1,1,1,2,$34.00 ,4/22/14,12/7/22,4.73,4.64,4.55,4.6,4.6,4.6,4.7,f,8,0,7,1,0.08
2726453,2.02503E+13,3/16/25,2275056,Debbie,5/2/12,within an hour,100%,95%,f,Hillsboro West End,8,9,t,t,District 18,36.14077,-86.81479,Entire home,6,2,2,3,$249.00 ,7/28/14,1/20/25,4.75,4.76,4.76,4.91,4.83,4.91,4.79,t,6,6,0,0,1.84
2743820,2.02503E+13,3/15/25,5443095,Brad,3/13/13,within an hour,100%,64%,t,,2,6,t,t,District 7,36.21896,-86.71519,Entire home,4,1,2,3,$100.00 ,5/20/14,12/6/24,4.75,4.79,4.82,4.89,4.92,4.7,4.77,f,1,1,0,0,0.73
2802925,2.02503E+13,3/15/25,14336050,Rae,4/15/14,within a few hours,100%,100%,t,,1,1,t,t,District 24,36.14704,-86.82269,Entire guest suite,4,1,1,2,$133.00 ,5/7/23,11/4/24,5,4.97,5,5,5,4.97,4.9,f,1,1,0,0,1.33
2824336,2.02503E+13,3/15/25,14448697,Che,4/18/14,within a few hours,94%,60%,f,Edgehill,14,14,t,t,District 19,36.14992,-86.78832,Entire home,12,,3,,,6/23/14,2/24/25,4.86,4.85,4.88,4.94,4.89,4.9,4.72,f,14,14,0,0,1.42
2906844,2.02503E+13,3/15/25,6117864,Sara,4/27/13,within an hour,100%,100%,t,,1,1,t,f,District 6,36.17739,-86.74131,Entire guesthouse,2,1,0,2,$87.00 ,5/21/14,3/2/25,4.91,4.97,4.93,4.94,4.95,4.9,4.88,f,1,1,0,0,4.51
2908364,2.02503E+13,3/15/25,14858294,Bill And Anne,4/28/14,within a few hours,100%,100%,t,,1,1,t,t,District 15,36.22061,-86.70683,Entire home,12,3,4,8,$635.00 ,7/14/14,10/20/24,4.92,4.9,4.88,5,4.94,4.92,4.86,f,1,1,0,0,0.39
2909345,2.02503E+13,3/15/25,14863542,Sean And Kirsten,4/28/14,within an hour,100%,100%,t,,1,1,t,t,District 20,36.1599,-86.84271,Entire home,8,2,3,4,$120.00 ,5/27/14,3/10/25,4.96,5,4.98,4.98,4.96,4.83,4.89,t,1,1,0,0,1.08
2931998,2.02503E+13,3/15/25,5151272,Carly,2/19/13,a few days or more,0%,40%,f,,1,1,t,f,District 6,36.17444,-86.73902,Entire bungalow,2,,1,,,1/4/15,5/27/24,4.96,4.96,5,4.99,4.96,4.95,4.93,f,1,1,0,0,0.79
2950152,2.02503E+13,3/15/25,15060012,William And Vicki,5/3/14,within an hour,100%,100%,t,,1,1,t,t,District 17,36.14251,-86.79137,Entire home,9,1.5,3,5,$217.00 ,10/16/14,3/12/25,4.81,4.92,4.66,4.96,4.96,4.95,4.84,t,1,1,0,0,7.99
3010960,2.02503E+13,3/15/25,15343975,Keriann,5/10/14,N/A,N/A,N/A,f,,1,1,t,t,District 6,36.16889,-86.73357,Private room in home,4,1,1,2,$116.00 ,6/28/14,6/12/16,4.86,4.94,4.91,4.98,4.94,4.87,4.91,f,1,0,1,0,0.44
3021231,2.02503E+13,3/15/25,15395208,Julie And Josh,5/11/14,within an hour,100%,100%,t,,1,3,t,t,District 17,36.12177,-86.7829,Entire home,12,,4,,,6/30/14,3/9/25,4.94,4.93,4.82,4.99,4.96,4.94,4.9,t,1,1,0,0,2.37
3043332,2.02503E+13,3/15/25,293488,Caitlin,11/20/10,within an hour,100%,100%,t,,2,4,t,t,District 15,36.1641,-86.68415,Entire guest suite,3,1,1,1,$75.00 ,10/28/14,3/2/25,4.77,4.81,4.77,4.92,4.91,4.81,4.78,f,2,2,0,0,3.63
3052313,2.02503E+13,3/15/25,16805934,Rachael,6/15/14,within an hour,100%,99%,t,Villa Del Sol,6,8,t,t,District 18,36.12312,-86.80109,Entire home,9,3.5,4,5,$479.00 ,10/2/14,7/28/24,5,5,5,5,5,4.97,4.91,f,3,3,0,0,0.27
3107569,2.02503E+13,3/15/25,15494980,Devon,5/13/14,within an hour,100%,100%,,,7,36,t,t,District 5,36.19904,-86.76105,Entire home,12,,5,,,9/14/14,11/4/24,4.77,4.73,4.47,4.86,4.88,4.55,4.65,t,1,1,0,0,1.09
3116713,2.02503E+13,3/15/25,812128,Patricia And John,7/12/11,within an hour,90%,92%,t,South Miami Heights,12,32,t,t,District 12,36.18885,-86.5917,Private room in home,1,1,1,1,$34.00 ,8/14/15,7/26/24,4.73,4.64,4.64,4.91,4.91,4.82,4.73,f,6,1,5,0,0.09
3121821,2.02503E+13,3/15/25,14083317,Merrilyn,4/9/14,within an hour,100%,100%,t,,2,4,t,f,District 6,36.18862,-86.73964,Entire loft,2,1,0,1,$101.00 ,6/3/14,3/10/25,4.94,4.97,4.96,4.98,4.96,4.88,4.9,t,2,2,0,0,8.8
3123909,2.02503E+13,3/15/25,7961115,Blake,8/5/13,within an hour,100%,97%,t,,2,3,t,t,District 19,36.18161,-86.79044,Entire home,10,2.5,4,4,$296.00 ,6/30/14,12/1/24,4.86,4.92,4.88,4.93,4.95,4.85,4.72,f,2,1,1,0,1.27
3158038,2.02503E+13,3/15/25,5611748,Melissa,3/24/13,within a few hours,100%,100%,f,,1,1,t,t,District 17,36.13362,-86.78695,Entire home,6,,3,,,7/22/14,11/3/24,4.94,4.87,5,5,4.94,4.94,4.78,f,1,1,0,0,0.42
3288576,2.02503E+13,3/15/25,2275056,Debbie,5/2/12,within an hour,100%,95%,f,Hillsboro West End,8,9,t,t,District 18,36.12465,-86.7947,Entire guesthouse,2,1,1,1,$114.00 ,8/7/16,3/8/25,4.75,4.82,4.67,4.88,4.78,4.96,4.68,f,6,6,0,0,1.9
3379848,2.02503E+13,3/15/25,17050462,Patrick & Janet,6/20/14,within an hour,100%,100%,t,,1,1,t,t,District 16,36.1232,-86.70996,Entire guest suite,3,1,1,2,$148.00 ,8/22/17,9/29/24,4.97,4.97,4.97,5,5,4.94,4.94,t,1,1,0,0,1.94
3398939,2.02503E+13,3/15/25,17145199,Brad,6/23/14,within an hour,100%,99%,f,,17,18,t,t,District 19,36.17478,-86.78236,Entire condo,6,1,1,5,$133.00 ,9/2/14,2/24/25,4.77,4.78,4.68,4.94,4.91,4.68,4.73,t,5,5,0,0,4.55
3464176,2.02503E+13,3/15/25,17453866,Alex,6/30/14,within a few hours,100%,100%,t,,1,1,t,t,District 5,36.17913,-86.76809,Entire home,8,,3,,,7/14/14,10/27/24,4.97,4.96,4.87,4.98,4.99,4.58,4.83,f,1,1,0,0,0.76
3578360,2.02503E+13,3/15/25,11006332,Cp,1/4/14,N/A,N/A,N/A,f,,1,7,t,t,District 6,36.16574,-86.74104,Entire home,4,,2,,,7/22/14,11/11/21,4.73,4.84,4.62,4.91,4.94,4.88,4.77,f,1,1,0,0,0.78
3648549,2.02503E+13,3/15/25,931636,Debby,8/6/11,N/A,N/A,N/A,f,,1,1,t,t,District 25,36.10373,-86.79625,Entire rental unit,4,,1,,,10/23/16,11/14/22,4.93,4.95,4.91,4.97,4.97,4.94,4.93,f,1,1,0,0,1.38
3686152,2.02503E+13,3/15/25,15586733,Neal,5/16/14,within an hour,100%,99%,t,Edgehill,19,19,t,t,District 17,36.12521,-86.78528,Entire home,10,3,3,5,$231.00 ,8/26/14,2/23/25,4.91,4.9,4.83,4.97,4.98,4.97,4.83,f,19,19,0,0,2.37
3694888,2.02503E+13,3/15/25,18816131,Sean,7/24/14,within an hour,100%,100%,t,,1,3,t,t,District 19,36.14959,-86.78881,Entire rental unit,4,1,1,4,$104.00 ,1/18/15,2/15/25,4.76,4.82,4.74,4.84,4.79,4.83,4.69,f,1,1,0,0,4.6
3696753,2.02503E+13,3/16/25,18830581,Mike,7/24/14,within an hour,100%,100%,t,,2,2,t,f,District 6,36.17229,-86.75554,Entire condo,6,2,2,3,$169.00 ,7/27/14,3/9/25,4.95,4.97,4.94,4.98,4.98,4.92,4.89,f,2,2,0,0,3.31
3703925,2.02503E+13,3/15/25,441439,Angela,3/14/11,within an hour,100%,100%,t,,5,5,t,t,District 24,36.14206,-86.82473,Entire guesthouse,3,1,1,0,$112.00 ,8/20/14,3/12/25,4.76,4.84,4.64,4.93,4.89,4.91,4.72,t,2,2,0,0,5.23
3710914,2.02503E+13,3/15/25,10259524,Brady,11/25/13,within an hour,100%,100%,,,6,7,t,t,District 5,36.18218,-86.77158,Entire home,6,2,2,3,$107.00 ,8/4/14,3/12/25,4.89,4.95,4.86,4.98,4.98,4.57,4.86,t,4,4,0,0,7.2
3742359,2.02503E+13,3/15/25,13976860,Connie,4/6/14,within a few hours,100%,90%,t,Shelby Hills,2,2,t,t,District 6,36.16948,-86.73771,Entire home,2,1,1,1,$125.00 ,8/4/14,1/20/25,4.93,4.96,4.93,4.92,4.94,4.88,4.89,f,2,2,0,0,2.96
3760928,2.02503E+13,3/15/25,19112532,Angela,7/29/14,within an hour,100%,100%,t,,1,1,t,t,District 6,36.19183,-86.7427,Private room in home,2,1,1,1,$119.00 ,9/15/14,11/17/24,4.96,4.97,4.94,5,4.99,4.92,4.96,f,1,0,1,0,3
3793659,2.02503E+13,3/15/25,9633722,Molly,10/25/13,within an hour,100%,100%,t,,3,5,t,t,District 19,36.17184,-86.79209,Entire home,10,2,4,5,$281.00 ,6/2/15,1/26/25,4.97,4.98,4.93,4.99,4.97,4.88,4.89,t,2,2,0,0,2.53
3811909,2.02503E+13,3/15/25,11543228,Jess,1/22/14,within an hour,100%,98%,t,,1,1,t,t,District 6,36.18391,-86.72637,Entire home,2,1,1,1,$107.00 ,8/24/14,3/4/25,4.96,4.95,4.97,4.99,4.99,4.88,4.91,f,1,1,0,0,3.28
3867817,2.02503E+13,3/15/25,19969236,Elizabeth,8/13/14,N/A,N/A,0%,f,,1,1,t,t,District 24,36.12181,-86.84317,Entire townhouse,5,,2,,,11/3/14,10/31/19,4.88,5,5,4.88,4.88,4.75,4.25,f,1,1,0,0,0.06
3905148,2.02503E+13,3/15/25,19204818,"Tom And Wife, Mary",7/31/14,within an hour,100%,99%,t,,1,1,t,t,District 6,36.17347717,-86.74029541,Entire guest suite,2,1,1,1,$125.00 ,9/2/14,3/8/25,4.98,4.98,4.99,4.99,4.98,4.95,4.9,f,1,1,0,0,5.19
3907104,2.02503E+13,3/15/25,593556,Alece,5/16/11,N/A,N/A,N/A,f,,9,13,t,t,District 6,36.175255,-86.75061,Entire home,4,,1,,,9/9/14,2/8/25,4.95,4.94,4.89,4.98,4.97,4.98,4.88,t,9,9,0,0,2.03
3912357,2.02503E+13,3/15/25,20264071,Caprisha,8/19/14,within an hour,100%,100%,t,,1,2,t,t,District 19,36.17319,-86.79354,Private room in guest suite,2,1,1,2,$91.00 ,2/10/15,1/1/25,4.8,4.84,4.8,4.85,4.87,4.67,4.72,t,1,0,1,0,3.55
3952633,2.02503E+13,3/15/25,7096686,Meredith,6/24/13,within an hour,100%,92%,t,,2,2,t,t,District 17,36.12558,-86.77773,Entire rental unit,2,,1,,,9/11/14,8/23/24,4.93,4.89,4.93,5,5,4.79,4.82,f,2,2,0,0,0.22
4033674,2.02503E+13,3/15/25,14657565,Daphne,4/23/14,within an hour,100%,97%,f,West End Park,6,6,t,t,District 17,36.12644,-86.77843,Entire rental unit,2,1,0,1,$100.00 ,11/1/14,3/8/25,4.64,4.75,4.69,4.93,4.92,4.73,4.69,t,6,6,0,0,7.83
4047679,2.02503E+13,3/16/25,2800334,Kristin,7/1/12,within a day,100%,89%,t,,2,3,t,t,District 17,36.14261,-86.79371,Entire rental unit,2,1,1,1,$90.00 ,9/23/14,2/2/25,4.91,4.96,4.96,4.99,4.97,4.9,4.84,f,2,2,0,0,0.89
